,Topic,Y,E,M
1,Abstract,1,2,3
2,Airplane,3,3,2
3,Aliens,2,3,3
4,Alternate History,-3,3,3
5,Assassin,-3,1,3
6,Business,2,3,-2
7,City,2,3,1
8,Colonization,-2,3,1
9,Comedy,1,2,3
10,Construction,1,3,2
11,Cooking,1,3,-3
12,Crime,-3,1,3
13,Cyberpunk,-2,2,3
14,Dance,3,2,1
15,Detective*,2,3,1
16,Disasters,-2,2,3
17,Dungeon,1,3,3
18,Dystopian,-3,1,3
19,Evolution,1,3,-2
20,Expedition,1,3,1
21,Extreme Sports,3,-2,3
22,Farming,2,3,1
23,Fantasy,3,3,3
24,Fashion,3,1,-3
25,Game Dev,2,3,-2
26,Government,-3,3,1
27,Hacking,-2,2,3
28,History,1,3,2
29,Horror,-3,2,3
30,Hospital,-2,3,1
31,Hunting,2,3,2
32,Law*,1,3,-2
33,Life,3,3,1
34,Mad Science,1,2,3
35,Martial Arts,-2,2,3
36,Medieval,3,3,2
37,Military,-2,2,3
38,Movies,2,3,2
39,Music*,3,2,1
40,Mystery*,1,2,3
41,Mythology,-2,3,3
42,Ninja,3,2,2
43,Pirate,3,3,1
44,Post Apocalyptic,-3,2,3
45,Prison,-2,2,3
46,Racing*,3,3,2
47,Rhythm*,3,2,1
48,Romance,1,3,3
49,School,3,2,-2
50,Sci-Fi,1,3,3
51,Space,1,3,3
52,Sports*,3,3,1
53,Spy,1,2,3
54,Superheroes,3,3,3
55,Surgery,1,3,2
56,Technology,1,3,2
57,Thief,-2,3,3
58,Time Travel,2,3,1
59,Transport,2,3,-2
60,UFO,1,3,2
61,Vampire,-2,3,3
62,Virtual Pet,3,1,-2
63,Vocabulary,2,3,-3
64,Werewolf,-2,2,3
65,Wild West,3,2,3
66,Zombies,2,1,3
